,Date,Return_5d,Return_20d,Return_60d,Realized_Volatility,Z_Score,Ticker
SPY,2022-09-08,0.013158515481984656,-0.046691707320234754,0.07229203066980872,0.19919803212823714,-0.7798112755902504,SPY
SPY,2022-09-09,0.025679865412238767,-0.03188180293007148,0.09224169156547002,0.20893036746105006,-0.27698338869859196,SPY
SPY,2022-09-12,0.04775158970089932,-0.03776617544067695,0.08846337406146842,0.2028382477060143,0.11159406887233511,SPY
SPY,2022-09-13,0.00598832564866103,-0.08338369356025777,0.07677110909847906,0.2511725742577163,-1.1659470706717543,SPY
SPY,2022-09-14,-0.007994421641586147,-0.08168497685515463,0.0785547175707404,0.25187453678441274,-0.9687115843034081,SPY
SPY,2022-09-15,-0.025625413116431406,-0.08562044401039404,0.04012605935564717,0.25298082224346724,-1.253597556628546,SPY
SPY,2022-09-16,-0.04785093387412798,-0.0952258579560552,0.03406553150685232,0.25167006999771235,-1.450299296035491,SPY
SPY,2022-09-19,-0.05067031714928383,-0.07578990951992859,0.031968614517552396,0.2534227237615686,-1.091175229194769,SPY
SPY,2022-09-20,-0.0189066485486038,-0.06697029790008346,-0.011311056404274322,0.24708524064475793,-1.4092210431475,SPY
SPY,2022-09-21,-0.039685093157587836,-0.0810227634725138,-0.024832780080993322,0.25205703993317824,-1.8460738316858718,SPY
SPY,2022-09-22,-0.0368164700170448,-0.09164984971483237,-0.012853790225418438,0.25089398766386883,-1.9072377088934962,SPY
SPY,2022-09-23,-0.045673874464010056,-0.11930232684475894,-0.028602168148339047,0.24403412706402783,-2.2814666182321965,SPY
SPY,2022-09-26,-0.062385739104417026,-0.09746493488967933,-0.030333942189179397,0.22105604541689183,-2.1828508866870395,SPY
SPY,2022-09-27,-0.05391959850547523,-0.09377655436774024,-0.04293157108098211,0.2211613212020942,-1.9259100713319741,SPY
SPY,2022-09-28,-0.018177436720729356,-0.0656886782809446,-0.02593977874982334,0.23600942232589317,-1.2187628364465122,SPY
SPY,2022-09-29,-0.03054340493867258,-0.07819138093367273,-0.04949698920308665,0.24393202360638505,-1.5883744366977866,SPY
SPY,2022-09-30,-0.029270169520334344,-0.09528463762468908,-0.07800392418429725,0.2456428438358354,-1.7233275454476957,SPY
SPY,2022-10-03,0.006313319882315316,-0.06150316116438914,-0.052882960006593205,0.26801877158991316,-0.9903792382344598,SPY
SPY,2022-10-04,0.04015079427938062,-0.028757620073106227,-0.01225120682847558,0.2934333383677062,-0.2088153849588452,SPY
SPY,2022-10-05,0.017704227836067954,-0.04811962755561372,-0.005753250618598438,0.2844680819414242,-0.20953269046896592,SPY
SPY,2022-10-06,0.028694276437390087,-0.06405637823309929,-0.010814686316445221,0.28371076621791846,-0.4030969136754517,SPY
SPY,2022-10-07,0.015706468973221588,-0.10408181233554437,-0.03606594010191988,0.28783782696226246,-1.0634489293352483,SPY
SPY,2022-10-10,-0.01797547488782636,-0.1203765076224671,-0.061358622814595254,0.2814514208453059,-1.273535397184889,SPY
SPY,2022-10-11,-0.05352295945791652,-0.08621343810374882,-0.05953790737695108,0.24301547831691744,-1.3478168878808934,SPY
SPY,2022-10-12,-0.054443033729318135,-0.09268945976034826,-0.08730016433393595,0.24109104779557772,-1.356059019206235,SPY
SPY,2022-10-13,-0.01937315377330473,-0.058050718466717166,-0.06914584883968089,0.2632450573856646,-0.38414241312455777,SPY
SPY,2022-10-14,-0.014223145884497135,-0.0724399739483903,-0.0995283214674888,0.27237849093843103,-1.1477912210431143,SPY
SPY,2022-10-17,0.01888773593471549,-0.05592587610634414,-0.06773936639606426,0.28894678157429093,-0.04912558342291358,SPY
SPY,2022-10-18,0.03742955171544482,-0.033742118556605805,-0.057930194136869506,0.29145731576541756,0.6519331329774701,SPY
SPY,2022-10-19,0.0334865392017889,-0.02355651929137592,-0.05340710388841241,0.28620839085067157,0.3635545623695725,SPY
SPY,2022-10-20,-0.0015299337542646896,-0.02354210567813242,-0.08510100762959694,0.2862034407837323,-0.04293313925418653,SPY
SPY,2022-10-21,0.046584578255693954,0.017230894865043034,-0.07447584757867787,0.29318093170566356,1.2682545546429331,SPY
SPY,2022-10-24,0.03285000848184594,0.039966015384277354,-0.0766126383548591,0.2928841763476538,1.7043981168605091,SPY
SPY,2022-10-25,0.03715672988432761,0.059276635431485314,-0.059081259897393434,0.296382403483202,2.1008402422226924,SPY
SPY,2022-10-26,0.036689323521911676,0.03100964403613271,-0.05996828709840929,0.29179804173687185,1.56203187889485,SPY
SPY,2022-10-27,0.039872873200757386,0.04738271037684627,-0.07940438671804784,0.28073643583888785,1.194110256353828,SPY
SPY,2022-10-28,0.03935439581841749,0.08914279642345035,-0.05686547851803192,0.28197448524849983,1.9044694380096314,SPY
SPY,2022-10-31,0.01937335098001225,0.0534627944024213,-0.06209272811703814,0.2724642829335517,1.4277646027296647,SPY
SPY,2022-11-01,-0.0010391617128568953,0.017329296413918893,-0.06511162529401815,0.25247524629223134,1.190924151085068,SPY
SPY,2022-11-02,-0.01871627968691314,-0.005887023453129636,-0.08493985197588005,0.26909524905641874,0.2748659143283411,SPY
SPY,2022-11-03,-0.02360650444624912,-0.005868226166169999,-0.11299306652896035,0.2690858687213286,-0.08730577793987483,SPY
SPY,2022-11-04,-0.032569100279728924,0.03737686787891281,-0.10022629738899957,0.25225131956391156,0.36959396718135173,SPY
SPY,2022-11-07,-0.016208816928421577,0.05535796950556371,-0.10674134487473563,0.25104070184185473,0.6463419848802833,SPY
SPY,2022-11-08,-0.006553635541229119,0.06781469353019087,-0.10560731481435015,0.2488779793508048,0.7770189762088434,SPY
SPY,2022-11-09,-0.0019740179712578465,0.04927636838084082,-0.1257461828739268,0.2624192578324519,-0.1886251255950893,SPY
SPY,2022-11-10,0.06382586980049676,0.07847659184990285,-0.07110901109068957,0.309147788923891,1.972107027622286,SPY
SPY,2022-11-11,0.05888145159979885,0.11430809024348432,-0.06483662869178086,0.29286722238361357,2.175413344787887,SPY
SPY,2022-11-14,0.03992635612576012,0.07714964949438063,-0.06016233791308512,0.2868917289435242,1.6022954420586832,SPY
SPY,2022-11-15,0.043167480774535916,0.0737206800616137,-0.0319900164200394,0.28593927603042646,1.71926621350403,SPY
SPY,2022-11-16,0.056985482765576245,0.07313433384833568,-0.03704508556931718,0.2862160168817403,1.275999572184062,SPY
SPY,2022-11-17,-0.0011401882908029792,0.07889756727353636,-0.04305489092867065,0.2838719576587773,1.0758462899873618,SPY
SPY,2022-11-18,-0.006223263554903102,0.05808310223924673,-0.052092041622326724,0.2737140728979587,1.1573479462568323,SPY
SPY,2022-11-21,-0.001341430636491836,0.04149171624213599,-0.02244983926636368,0.27230751542723014,0.9001036052724725,SPY
SPY,2022-11-22,0.003538485489290588,0.038917257209271305,-0.002700394210386259,0.27078024756664454,1.3430613013944792,SPY
SPY,2022-11-23,0.01762556370755264,0.053400383932149076,0.01472371776436976,0.2688096648076752,1.4289963775843935,SPY
SPY,2022-11-25,0.020520430116812483,0.058818859287048886,0.022275219173095273,0.26740903319995624,1.2721790740882457,SPY
SPY,2022-11-28,-0.00030294718419110467,0.01771115145943125,0.002816154683304317,0.26375959741401406,0.5959642796473608,SPY
SPY,2022-11-29,0.0016219608206549108,0.023355156379178288,0.011762079923267388,0.26222548686832864,0.4835395451681293,SPY
SPY,2022-11-30,0.019454651440976578,0.060230781559281965,0.047585755742605595,0.2816912737283427,1.4992569809529885,SPY
SPY,2022-12-01,0.012325358764720962,0.08672333955236611,0.028340899893038562,0.26166918088760666,1.343846400054453,SPY
SPY,2022-12-02,0.011383753838506872,0.09676293156111981,0.020484487692934872,0.2568990315012674,1.2392790050238258,SPY
SPY,2022-12-05,0.009295000414031307,0.06175105356942123,-0.013203470802766626,0.26633736184972123,0.40819347211887497,SPY
SPY,2022-12-06,-0.0035422290296882597,0.0365311415505718,-0.037769833209769565,0.2721339798728233,-0.36630278927893256,SPY
SPY,2022-12-07,-0.035616061063881155,0.02921463491237497,0.0042610353803060885,0.2720572544457431,-0.5754699183019506,SPY
SPY,2022-12-08,-0.027345488018464814,0.059097036073766374,0.008281039902312326,0.2596898166617951,-0.4593074574640268,SPY
SPY,2022-12-09,-0.03349642360594385,-0.0035725527063538154,0.012241000829524395,0.18000966018859946,-1.0623682633492422,SPY
SPY,2022-12-12,-0.0016015865978550314,0.0011041044398321098,0.03472882991938775,0.18411496567583008,0.12940889046538695,SPY
SPY,2022-12-13,0.020668820540929556,0.01733647913470615,0.03453873524475726,0.18300139628940293,0.6937554675955236,SPY
SPY,2022-12-14,0.01587137667200844,0.0022836287832785906,0.039860314047178935,0.18240338903766182,0.1423189727774645,SPY
SPY,2022-12-15,-0.016681745005611814,-0.01471735765290716,0.032433367051093454,0.201210585609182,-1.7190436061716643,SPY
SPY,2022-12-16,-0.02097754345781122,-0.02336160111775809,0.028886645582884896,0.2049564636576196,-2.2025195296829696,SPY
SPY,2022-12-19,-0.043075478445667836,-0.03601983118057228,0.03754614278527657,0.20536530965157715,-2.2452556082662505,SPY
SPY,2022-12-20,-0.04896523054489832,-0.0311780286341633,0.049346568839613525,0.2055500956265361,-1.8747146077984067,SPY
SPY,2022-12-21,-0.028533753975485077,-0.02974850652470462,0.06776252217199352,0.2070337928437379,-1.02476939692774,SPY
SPY,2022-12-22,-0.018380740795875705,-0.0495792834019414,0.03221958309593842,0.20968543917799148,-1.5240663834103882,SPY
SPY,2022-12-23,-0.0009392275868302935,-0.04389850084238933,0.060305631111423175,0.21161759423636833,-1.1336158556960951,SPY
SPY,2022-12-27,0.0036314108492310204,-0.03222603874058083,0.07271237208216985,0.20538274816034538,-1.1903159460541013,SPY
SPY,2022-12-28,-0.010196093241590987,-0.042609078353672225,0.03213115921236853,0.20897697926341638,-1.5312231342424012,SPY
SPY,2022-12-29,-0.007223715077841808,-0.05513926316285156,0.019130414331347545,0.18509168164501547,-0.7252753423939472,SPY
SPY,2022-12-30,0.004491376020664184,-0.05693421077678151,0.018818278454211468,0.1849285548816802,-0.769697980282146,SPY
GOOG,2022-01-03,,,,,,GOOG
GOOG,2022-01-04,,,,,,GOOG
GOOG,2022-01-05,,,,,,GOOG
GOOG,2022-01-06,,,,,,GOOG
GOOG,2022-01-07,,,,,,GOOG
GOOG,2022-01-10,-0.04480795662624504,,,,,GOOG
GOOG,2022-01-11,-0.03046053827992823,,,,,GOOG
GOOG,2022-01-12,0.029018367193008432,,,,,GOOG
GOOG,2022-01-13,0.0114866312160804,,,,,GOOG
GOOG,2022-01-14,0.02030585762315229,,,,,GOOG
GOOG,2022-01-18,-0.01647859581623401,,,,,GOOG
GOOG,2022-01-19,-0.0311782332352728,,,,,GOOG
GOOG,2022-01-20,-0.057476874922903765,,,,,GOOG
GOOG,2022-01-21,-0.06496754588988718,,,,,GOOG
GOOG,2022-01-24,-0.06734906113976513,,,,,GOOG
GOOG,2022-01-25,-0.07010759379035136,,,,,GOOG
GOOG,2022-01-26,-0.04726796828406843,,,,,GOOG
GOOG,2022-01-27,-0.03284868579448619,,,,,GOOG
GOOG,2022-01-28,0.024578746666493956,,,,,GOOG
GOOG,2022-01-31,0.040856196122145194,,,,-0.0672757825644307,GOOG
GOOG,2022-02-01,0.0879231957606581,-0.049602140187382515,,0.31083631600628614,0.46888322543811345,GOOG
GOOG,2022-02-02,0.14543857734578003,0.025066286909786628,,0.40580373352987725,2.3914052564021473,GOOG
GOOG,2022-02-03,0.10478170852953061,0.0363012993046361,,0.38980452456720305,1.233142826188673,GOOG
GOOG,2022-02-04,0.07297277362348709,0.03973072279740486,,0.38969675631988515,1.2019083091577791,GOOG
GOOG,2022-02-07,0.023872800576168363,0.014112765535795102,,0.40451116316763214,0.4427258546526204,GOOG
GOOG,2022-02-08,0.009678848165422638,0.004611191070200249,,0.4025871964073502,0.4852968992175886,GOOG
GOOG,2022-02-09,-0.04447198376743111,0.01025238714893284,,0.404940278337705,0.8665763228078377,GOOG
GOOG,2022-02-10,-0.028377160819656022,-0.021500448603954614,,0.4092079976459191,0.3933047694995858,GOOG
GOOG,2022-02-11,-0.06213280880252359,-0.03594441834653317,,0.42057318009614064,-0.3739745124454879,GOOG
GOOG,2022-02-14,-0.02618440836950542,-0.03209531203629523,,0.4216303314386202,-0.12165094409892557,GOOG
GOOG,2022-02-15,-0.02002321248110317,0.0009905666949365788,,0.4133754953375972,0.08430801490228315,GOOG
GOOG,2022-02-16,-0.028034090878335416,0.013530985370604931,,0.4138419941242687,0.26243544266241664,GOOG
GOOG,2022-02-17,-0.045410351110802716,-0.008973341498667686,,0.4330288982250225,-0.6737467601974687,GOOG
GOOG,2022-02-18,-0.02730579607673267,0.0028863409095858383,,0.4257508259451994,-1.017082856348546,GOOG
GOOG,2022-02-22,-0.04358845649965626,-0.007436568167856317,,0.42668730532574,-1.1909505128026168,GOOG
GOOG,2022-02-23,-0.06480096246710532,0.00670293498617669,,0.41726303403441506,-1.5484883362607027,GOOG
GOOG,2022-02-24,-0.035014226806006854,0.026566703979087114,,0.4346130995873999,-0.6662657598432332,GOOG
GOOG,2022-02-25,0.016710907014712895,0.041809692073212945,,0.4367528844254796,-0.3852946584485446,GOOG
GOOG,2022-02-28,0.033905047181797876,0.012015184767071085,,0.4224712895100239,-0.3299089047486408,GOOG
GOOG,2022-03-01,0.03682711769092162,-0.011278708830241402,,0.4178742682182212,-0.45741180557728367,GOOG
GOOG,2022-03-02,0.056170365991615956,-0.022679347740372946,,0.4138069749537428,-0.30945863144664276,GOOG
